instance,boxes,util_3dbpp,util_3dbpp_vbs,diff_pct,time_s
class_1/class1_n10_instance1,10,89.09489999999998,91.0089,2.148271113161365,1.9558441638946533
class_1/class1_n10_instance2,10,83.0581,85.62639999999999,3.0921728284176857,0.971991777420044
class_1/class1_n10_instance3,10,90.1689,91.4741,1.447505736456812,2.0594639778137207
class_1/class1_n10_instance4,10,85.8099,85.8099,0.0,1.1980206966400146
class_1/class1_n10_instance5,10,79.502,84.2965,6.0306658951976075,1.096214771270752
class_1/class1_n10_instance6,10,87.6994,91.4022,4.22214975244984,5.263593912124634
class_1/class1_n10_instance7,10,86.90050000000001,92.31639999999999,6.232300159377662,2.0910351276397705
class_1/class1_n10_instance8,10,91.87729999999999,93.9623,2.269330944640301,2.165092945098877
class_1/class1_n10_instance9,10,75.79959999999998,87.0536,14.847044047725857,1.8551409244537354
class_1/class1_n10_instance10,10,84.8612,93.245,9.879426640207772,2.242133855819702
